,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
196,Crave Online,2020-12-31,Writer,1000+ word review,1000+ word review,writing and reporting,1000,review,20,flat,20,$20 flat rate,,,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Editorial &amp; Opinion,United States,No,California,United States,He/His,"Hispanic, Latinx, Native American or First Nation, White",10-15 years,31,"Loved it, Would not recommend to others",Male,2020-12-31,CraveOnline Media,not_news
197,Creem,2023-04-26,Writer,"3,000-word feature/critical essay",3000 word feature/critical essay,writing and reporting,3000,feature,2250,per word,0.75,$0.75 per word,40,56.25,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Verbal or ‘handshake’ agreement,No,,,,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Entertainment,United States,Yes,New York,United States,He/His,White,5-10 years,42,"Whatevs, Generally good process; light on developmental editing; long time between filing and publication",Male,2023-04-26,Creem,news
198,CrimeReads (Literary Hub),2024-04-10,Writer,TV review (longform list),tv review (longform list),writing and reporting,,review,150,,0,,30,5,2 weeks or less,Check by mail,Pre-existing relationship,Work For Hire,No,,"No, but the job wasn't killed",,,,,,,,,,,Entertainment,US,Yes,MD,US (NYC),She/Her,,5-10 years,,,Cis,2024-04-10,CrimeReads,news
199,CRISPR Medicine News,2021-05-12,Writer,"1,500-1,750 word reported story",1500 1750 word reported story,writing and reporting,1575,article,500,per article,500,$500 per article,,,2 weeks or less,Paypal,Network referral,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Technology, Science",USA,No,CA,The Netherlands,He/His,White,5-10 years,28,"Loved it, Would recommend to others",Male,2021-05-12,CRISPR Medicine News,news
200,Curbed,2021-06-04,Writer,Reported story,reported story,writing and reporting,,article,500,,0,500,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"Yes, but the job wasn't killed",250,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,Unsure,Unsure,Unsure,,Local News,USA,No,NY,USA,He/His,White,0-5 years,26,"Whatevs, Would not recommend to others",Male,2021-06-04,Curbed,news
201,Curbed,2019-09-01,Writer,"Personal essay for the ""Personal Space"" section","personal essay for the ""personal space"" section",writing and reporting,,essay,450,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,,,,,,,,,,,,,Home &amp; Garden,United States,Yes,New York,United States,She/Her,White,5-10 years,,"Would recommend to others, Editing experience was great. Legal team wouldn't budget on Work for Hire contract which seems especially absurd for a personal essay.","Cis, Female",2019-09-01,Curbed,news
202,Curbed,2019-12-15,Writer,Short product recommendation piece/mini personal essay,short product recommendation piece/mini personal essay,writing and reporting,,essay,250,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Home &amp; Garden,US,Yes,NY,US,She/Her,White,5-10 years,,Would recommend to others,"Cis, Female",2019-12-15,Curbed,news
203,"D3: Designs, Data, Decisions",2024-10-01,Editor,copy editing focus group transcripts,copy editing focus group transcripts,editing,,other,2820,per hour,30,$30 per hour,94,30,2 weeks or less,Direct Deposit,No pre-existing relationship,,Yes,No,,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,,No,No,,,United States,Yes,Massachusetts,United States,They/Their,White,15-20 years,38,Whatevs,"Genderqueer, Nonbinary, Trans",2024-10-01,D3 Systems,not_news
204,Daily Mail and General Trust,2023-01-09,,Book review,book review,writing and reporting,,review,450,,0,,8,56.25,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-01-09,Daily Mail and General Trust,news
205,Dame Magazine,2021-03-23,Writer,1000-2000 word reported story,1000 2000 word reported story,writing and reporting,1500,article,300,,0,300,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Shared Copyright,Yes,No,"Yes, but the job wasn't killed",75,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,"National News, Politics, Health &amp; Wellness",USA,Yes,Illinois,USA,She/Her,White,5-10 years,38,Loved it,Female,2021-03-23,Dame Magazine,news
206,DAP Health,2025-06-11,Writer,750 word Feature,750 word feature,writing and reporting,750,feature,750,per word,1,$1/word,10,75,30 days,Check by mail,Pre-existing relationship,Work For Hire,Yes,No,"Yes, but the job wasn't killed",200,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Send receipts and include amount on the invoice,Was not hazardous,Unsure,Unsure,Unsure,,,USA,No,PA,USA,She/Her,White,20-25 years,62,Loved it,Female,2025-06-11,DAP Health,not_news
207,Darrington Press,2021-02-01,Illustrator,"Painted portrait, no-line digital oil look with big golden frame",painted portrait no line digital oil look with big golden frame,graphics/design,,graphics,400,,0,,,,2 weeks or less,Paypal,They reached out to me with an assignment,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,No,No,No,,Tabletop Games,Switzerland,No,,US,He/His,White,10-15 years,27,Would not recommend to others,Trans,2021-02-01,Darrington Press,not_news
208,DATAVERSITY,2024-04-08,Writer,Content Writer,content writer,writing and reporting,,article,550,per article,275,$275 per article for 2 articles including one interview,27,20.37,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,I have a learning disorder so it is understood I just get paid less unless I learn to get over it and work more efficiently,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,No,Unsure,No,,Technology,USA,No,Oregon,USA,She/Her,White,15-20 years,53,Would recommend to others,Female,2024-04-08,DATAVERSITY,not_news
209,Dazed Media,2020-01-01,Writer,Article about an artist,article about an artist,writing and reporting,,article,133,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Unsure,Unsure,No,"No, but the job wasn't killed",,Did not require overtime,Unsure,Did not require expenses,,,Unsure,Unsure,No,,Art,United Kingdom,No,,US,She/Her,White,Prefer not to say,,Difficult as it was assigned by one editor who left during Covid and it took time to get a reply from the new editor.,Female,2020-01-01,Dazed Media,ambiguous
210,DCist/WAMU,2021-04-05,Writer,"1,500-word feature reporting",1500 word feature reporting,writing and reporting,1500,feature,205,,0,,,,2 weeks or less,Check by mail,Cold pitch - I reached out to them,Work For Hire,Yes,No,"Yes, but the job wasn't killed",,I definitely worked more hours on the piece than I had thought I would.,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,"Local News, Outdoors",USA,No,DC,DC,She/Her,White,0-5 years,27,Loved it,"Cis, Female",2021-04-05,DCist,news
211,Deceleration News,2024-10-17,Writer,1200 word reporting,1200 word reporting,writing and reporting,1200,article,600,,0,,15,40,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,No,No,"Yes, but the job wasn't killed",300,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,Climate/EJ,United States,No,IL,United States,She/Her,White,15-20 years,68,Loved it,Female,2024-10-17,Deceleration News,news
212,Defector Media,2021-01-15,Writer,5000 word reported feature,5000 word reported feature,writing and reporting,5000,feature,1250,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",625,Did not require overtime,Job did not expand,Did not require expenses,,,Publicly Available,Publicly Available,No,,Sports,USA,Yes,New York,USA,He/His,"Jewish, White",15-20 years,38,Would recommend to others,"Cis, Male",2021-01-15,Defector Media,news
213,Dell,2021-09-15,Writer,"I wrote a 1200-word piece about electronic waste, with a focus on a particular artist's work around the topic (I also interviewed him for the piece).",i wrote a 1200 word piece about electronic waste with a focus on a particular artist's work around the topic (i also interviewed him for the piece).,writing and reporting,1200,article,1100,per word,1,$1/word,,,2 weeks or less,Paypal,Pre-existing relationship,Unsure,Unsure,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,"Technology, Branded/Sponsored Content",United States,No,New York,United States,She/Her,White,0-5 years,24,"Whatevs, Would recommend to others","Cis, Female",2021-09-15,Dell,not_news
214,Den of Geek,2023-04-21,,List,list,other,,other,75,,0,,3,25,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-04-21,Den of Geek,news
215,Deseret Magazine,2025-01-15,Fact Checking,"Fact-checking 3,500 word feature",fact checking 3500 word feature,fact-check,3500,feature,500,per hour,50,$50 per hour,10,50,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment, Network referral",,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,,,,,,USA,Yes,NY,USA,She/Her,White,0-5 years,25,Whatevs,"Cis, Female",2025-01-15,Deseret News,news
216,Deseret Magazine,2024-02-28,Writer,2500 words reporting,2500 words reporting,writing and reporting,2500,article,5000,per word,2,$2 per word,,,,Haven't been paid yet,"No pre-existing relationship, They reached out to me with an assignment, Network referral",Work For Hire,Yes,No,"Yes, but the job wasn't killed",1250,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,,Was not hazardous,No,Unsure,Unsure,,"National News, Science, Non Fiction General/Genre",USA,Yes,New York,"USA, Utah",She/Her,White,0-5 years,24,"Loved it, Would recommend to others","Cis, Female",2024-02-28,Deseret News,news
217,Digital Natives,2021-03-15,Writer,Social media content calendar/posts for two authors,social media content calendar/posts for two authors,writing and reporting,,social content,1600,per hour,65,$65 per hour,,,2 weeks or less,Paypal,"Pre-existing relationship, Network referral",Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,Unsure,No,No,,"Non Fiction General/Genre, Non Fiction Memoir, Academic",USA,No,New York,USA,She/Her,White,5-10 years,32,Would recommend to others,"Cis, Female",2021-03-15,UNCLEAR,not_news
218,Dirt (Newsletter),2021-10-03,Writer,500 word essay on a TikTok trend,500 word essay on a tiktok trend,writing and reporting,500,essay,500,per word,1,$1/word,,,2 weeks or less,venmo,Cold pitch - I reached out to them,1st Rights,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,,,,,,,,,,,,,,,,,,,2021-10-03,Dirt.fyi,news
219,Disabled Writers,2020-10-26,Writer,"1000 to 1,200 words how to guide piece",1000 to 1200 words how to guide piece,writing and reporting,1100,article,250,,0,,,,30 days,Venmo,Cold pitch - I reached out to them,Unsure,Verbal or ‘handshake’ agreement,,"No, but the job wasn't killed",,Did not require overtime,Unsure,Did not require expenses,,Hazard pay was not required,Unsure,Unsure,No,,Editorial &amp; Opinion,USA,Yes,NY,USA,He/His,White,0-5 years,25,"Loved it, Would recommend to others",Cis,2020-10-26,Disabled Writers,not_news
220,Discover Magazine,2022-12-14,Writer,Feature story for magazine,feature story for magazine,writing and reporting,,feature,3200,,0,,,,30 days,Check by mail,Pre-existing relationship,,Yes,No,"Yes, but the job wasn't killed",,,Job expanded &amp; I was compensated,Did not require expenses,,,Publicly Available,Unsure,,,,USA,,New York,USA,She/Her,"Jewish, White",5-10 years,,Would recommend to others,Cis,2022-12-14,Discover Magazine,news
221,Discover magazine (print),2021-03-15,Writer,400-word sidebar,400 word sidebar,writing and reporting,400,article,600,per word,1.5,$1.5 per word,,,30 days,Wire transfer (bank fees deducted from total),Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Unsure,No,,"Technology, Science",,,,,,,,,,,2021-03-15,Discover Magazine,news
222,Disney/National Geographic,2024-01-01,Writer,feature story,feature story,writing and reporting,,feature,1500,per word,1,$1 a word,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2024-01-01,National Geographic,news
223,District Fray,2021-04-01,Writer,800 words reporting,800 words reporting,writing and reporting,800,article,100,,0,,,,New Job - Still Waiting,Check by mail,Pre-existing relationship,Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Local News,United States,No,D.C.,United States,Prefer not to say,Prefer not to say,0-5 years,,Would not recommend to others,Prefer not to say,2021-04-01,District Fray Magazine,ambiguous
224,District Fray,2021-04-01,Writer,800 words reporting,800 words reporting,writing and reporting,800,article,100,,0,,,,30 days,Check by mail,They reached out to me with an assignment,Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Local News,United States,No,D.C.,United States,Prefer not to say,Prefer not to say,0-5 years,26,Whatevs,Prefer not to say,2021-04-01,District Fray Magazine,ambiguous
225,"DiversityComm, Inc",2023-01-09,"Copy Editor, Editor, Writer","1500-2000 words, business magazine cover story, celebrity focus",1500 2000 words business magazine cover story celebrity focus,writing and reporting,1750,article,750,,0,,,,New Job - Still Waiting,Direct Deposit,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",No,No,No,,"Entertainment, Business and Diversity",United States,Yes,Georgia,United States,She/Her,Black,5-10 years,32,Would recommend to others,"Cis, Female",2023-01-09,ConnectComm Magazine,news
226,Doist,2020-11-02,Writer,Writing an article for company blog,writing an article for company blog,writing and reporting,,article,700,per article,700,$700 per article (around 1200-1500 words),,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,,,,,,,,,,Yes,,,She/Her,White,5-10 years,,Would recommend to others,Female,2020-11-02,Doist,not_news
227,Don't Sleep LLC,2021-04-20,Writer,I write 1400-2000 word scripts for a popular Youtube Channel.,i write 1400 2000 word scripts for a popular youtube channel.,writing and reporting,1700,other,125,,0,,,,30 days,Paypal,Pre-existing relationship,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,United States,Yes,Colorado,United States,He/His,White,0-5 years,28,Whatevs,Cis,2021-04-20,UNCLEAR,not_news
228,dotdash,2017-02-20,Illustrator,illustrator,illustrator,graphics/design,,graphics,35,per hour,35,$35 per hour,,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,Shared Copyright,Yes,Yes,"No, but the job wasn't killed",,Did not require overtime,Unsure,Did not require expenses,,Was not hazardous,No,No,No,,"Editorial &amp; Opinion, Health &amp; Wellness, Travel, Home &amp; Garden, Academic, Real Estate, Branded/Sponsored Content",USA,No,New York,USA,Prefer not to say,East Asian,0-5 years,26,Whatevs,Female,2017-02-20,People Inc.,not_news
229,Drilled,2024-03-20,Writer,reported article,reported article,writing and reporting,,article,2300,per hour,100,$100 per hour (based on pre-existing contract),23,100,,,Pre-existing relationship,,,,,,,,,,,,,,,,USA,Yes,NY,USA,She/Her,White,10-15 years,,Loved it,Female,2024-03-20,Drilled,news
230,Drilled,2024-04-30,Writer,reported article,reported article,writing and reporting,,article,1500,per hour,100,$100 per hour (part of existing contract),15,100,,,Pre-existing relationship,,,,,,,,,,,,,,,,USA,Yes,NY,USA,She/Her,White,10-15 years,,Loved it,Female,2024-04-30,Drilled,news
231,Drilled Media,2025-08-01,"Audio Production, Writer",6-episode series,6 episode series,audio,,audio,60000,per hour,100,$100/hour,,,,Direct Deposit,Pre-existing relationship,,Yes,Involved two reporting trips,,,,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,,,,,,,National News,USA,Yes,NY,,She/Her,White,10-15 years,,Loved it,Cis,2025-08-01,Drilled,news
232,DriveTribe,2019-04-05,Writer,"1,200-word first-person account of an automotive repair.",1200 word first person account of an automotive repair.,writing and reporting,1200,article,200,flat,200,$200 for the piece,,,30 days,Direct Deposit,They asked me to pitch,Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Publicly Available,Unsure,No,,"Sports, Technology, Automotive (primary genre, but isn't listed above)",United States,No,Texas,United Kingdom,She/Her,White,5-10 years,34,"Loved it, Would recommend to others","Cis, Female",2019-04-05,DriveTribe,not_news
233,Dwell,2021-04-26,Writer,600-800 word write-up of home renovation (email interview with designer and/or homeowner),600 800 word write up of home renovation (email interview with designer and/or homeowner),writing and reporting,700,article,350,,0,,,,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,Unsure,,,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,"Home &amp; Garden, Real Estate",United States,No,New York,United States,She/Her,White,5-10 years,34,Loved it,Female,2021-04-26,Dwell,news
234,Earth Island Journal,2024-03-22,Writer,"3,000 word magazine feature",3000 word magazine feature,writing and reporting,3000,feature,800,flat,800,$800 flat fee for print features,40,20,30 days,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",250,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,No,No,Yes,,"International News, Science",United States,Yes,New York,United States,She/Her,White,0-5 years,27,"Loved it, Would recommend to others","Cis, Female",2024-03-22,Earth Island Journal,ambiguous
235,Eaten Magazine,2022-06-15,Writer,1000 Words Reporting,1000 words reporting,writing and reporting,1000,article,350,,0,,,,2 weeks or less,Paypal,Cold pitch - I reached out to them,1st Rights,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Cooking, History",United States,Yes,Ohio,,He/His,White,0-5 years,34,Loved it,Male,2022-06-15,EATEN Magazine,news
236,Eater (Vox Media),2021-01-01,Writer,1500 word reported feature,1500 word reported feature,writing and reporting,1500,feature,500,,0,,,,,,Cold pitch - I reached out to them,,,,,,,,,,,Unsure,,,,Travel,,,,,,,,,,,2021-01-01,Eater,news
237,Eater (Vox Media),2020-07-01,Writer,2500 word reported essay,2500 word reported essay,writing and reporting,2500,essay,2500,,0,,,,30 days,Direct Deposit,They reached out to me with an assignment,,Yes,,,,,,Required expenses &amp; I was reimbursed,It went smoothly,,,,,,,United States,Yes,NY,United States,She/Her,East Asian,5-10 years,28,Loved it,"Cis, Female",2020-07-01,Eater,news
238,Economist,2020-12-01,Writer,450-word book review,450 word book review,writing and reporting,450,review,550,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"Yes, but the job wasn't killed",550,,,,,,No,,,,,United States,Yes,OH,United Kingdom,She/Her,"Jewish, White",0-5 years,29,Would recommend to others,Female,2020-12-01,The Economist,news
239,Edge Magazine,2024-08-12,Writer,"1,000 word video game review",1000 word video game review,writing and reporting,1000,review,242.19,,0,,12,20.18,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Entertainment,USA,Yes,IL,UK,She/Her,White,0-5 years,30,Whatevs,"Female, Trans",2024-08-12,Edge Magazine,news
240,Edible Michiana,2024-03-04,Writer,600-900 word feature on local farm,600 900 word feature on local farm,writing and reporting,750,feature,125,,0,,6,20.83,New Job - Still Waiting,Haven't been paid yet,"Cold pitch - I reached out to them, They reached out to me with an assignment",1st Rights,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Local News, Cooking",United States,No,Indiana,United States,She/Her,"Southeast Asian, White, White Passing",5-10 years,29,Would recommend to others,Female,2024-03-04,Edible Michiana,news
241,EG News,2021-07-20,Writer,500 word reported piece (1 interview),500 word reported piece (1 interview),writing and reporting,500,article,50,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,Yes,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,No,No,Unsure,,"Local News, Entertainment",United States,Yes,Rhode Island,,,,5-10 years,28,,,2021-07-20,UNCLEAR,news
242,Electric Literature,2025-01-15,Writer,3000 words author interview with 300-word intro,3000 words author interview with 300 word intro,writing and reporting,3300,article,75,,0,,20,3.75,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,flat rate for whole job,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Publicly Available,Publicly Available,Unsure,,Non Fiction Memoir,USA,Yes,NY,USA,She/Her,White,0-5 years,39,Would not recommend to others,"Cis, Female",2025-01-15,Electric Literature,news
243,Elle,2020-05-01,Writer,Personal essay,personal essay,writing and reporting,,essay,800,flat,800,Flat rate $800 for 1000-1200 words,,,30 days,Check by mail,Network referral,1st Rights,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,,United States,,,,,,,,Would recommend to others,,2020-05-01,ELLE,news
244,elle canada,2024-01-01,Writer,500 words article,500 words article,writing and reporting,500,article,210,,0,,3,70,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,,,No,,,,,,,,,2024-01-01,ELLE,news
245,Elle Magazine,2024-01-19,Writer,800 words reporting,800 words reporting,writing and reporting,800,article,1600,per word,2,"$2/word, 800 words",40,40,2 weeks or less,Check by mail,"Pre-existing relationship, They asked me to pitch",Work For Hire,Yes,No,"Yes, but the job wasn't killed",400,Unsure,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,Unsure,No,,Fashion,United States,Yes,New York,United States,She/Her,"Southeast Asian, White",10-15 years,35,Whatevs,"Cis, Female",2024-01-19,ELLE,news
246,entertainment,2020-12-31,Illustrator,full page illustrations,full page illustrations,graphics/design,,graphics,4000,per day,30,$30 per day,,,2 weeks or less,Direct Deposit,They asked me to pitch,Work For Hire,Yes,No,Unsure,,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,Hazard pay was not required,No,No,No,,"Entertainment, Fiction Children",Tunisia,No,,Tunisia,She/Her,Arabic,0-5 years,26,Would not recommend to others,Female,2020-12-31,Not Specified,not_news
247,Esquire,2020-04-01,Writer,3000 words personal essay (print),3000 words personal essay (print),writing and reporting,3000,essay,3000,,0,,,,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Did not receive hazard pay",Unsure,Unsure,No,,"Editorial &amp; Opinion, Health &amp; Wellness, Non Fiction Memoir",United States,No,NY,United States,She/Her,White,5-10 years,32,"Loved it, Would recommend to others","Female, Trans",2020-04-01,Esquire,news
248,Esquire,2018-10-24,Writer,4000+ words researched obituary,4000+ words researched obituary,writing and reporting,4000,article,350,,0,,,,2 months,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"Yes, but the job wasn't killed",,,Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,No,No,No,,Editorial &amp; Opinion,US,No,CA,US,They/Their,White,0-5 years,,Would recommend to others,Genderqueer,2018-10-24,Esquire,news
249,Esquire,2020-02-01,Writer,800 word essay,800 word essay,writing and reporting,800,essay,600,,0,,,,2 months,Direct Deposit,Pre-existing relationship,,No,,,,,,,,,,No,,,,United States,Yes,NY,United States,She/Her,East Asian,5-10 years,28,Whatevs,Female,2020-02-01,Esquire,news
250,European Review of Books,2021-08-05,,2500 word single-book review-essay,2500 word single book review essay,writing and reporting,2500,review,550,,0,,50,11,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2021-08-05,The European Review of Books,news
251,Eurozine,2022-02-01,Writer,"3,000-5,000 word article",3000 5000 word article,writing and reporting,4000,article,260,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,Unsure,Unsure,No,Unsure,,Unsure,Job did not expand,Did not require expenses,,Was not hazardous,No,No,Unsure,,"Politics, History",United States,No,MI,Austria,She/Her,White,0-5 years,34,"Loved it, Would recommend to others",Female,2022-02-01,Eurozine,news
252,Exponent,2025-04-01,Writer,"Writing a guide for a person applying for a particular role at a particular company (for example, Software Engineer at Meta)",writing a guide for a person applying for a particular role at a particular company (for example software engineer at meta),writing and reporting,,other,300,per assignment,300,300 per assignment,6,50,30 days,Paypal,"No pre-existing relationship, Cold pitch - I reached out to them",Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,No,No,No,,Technology,United States,Yes,California,California,He/His,White,10-15 years,35,"Loved it, Would recommend to others",Male,2025-04-01,Exponent,not_news
253,facebook,2020-01-20,"Illustrator, muralist",make a mural in the Facebook office building,make a mural in the facebook office building,graphics/design,,other,25000,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,Work For Hire,Yes,Yes,"Yes, but the job wasn't killed",12500,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,materials  etc were included in my fee,Was not hazardous,No,No,No,,Technology,usa,No,california,usa,She/Her,White,10-15 years,35,"good for the wallet, bad for the soul","Cis, Female",2020-01-20,Meta,not_news
254,Fandom,2022-03-01,Writer,"Writing a 2,000 list article on anime",writing a 2000 list article on anime,writing and reporting,2000,article,200,,0,200,,,2 weeks or less,Direct Deposit,They asked me to pitch,Unsure,No,No,"No, but the job wasn't killed",,,,,,,No,No,,,Entertainment,United States,No,GA,U.K.,They/Their,"Black, East Asian",5-10 years,,"Loved it, Would recommend to others",Nonbinary,2022-03-01,Fandom,ambiguous
255,Fandom,2020-03-15,Illustrator,Third-page illustration,third page illustration,graphics/design,,graphics,500,,0,,,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,,,No,,,Entertainment,Brazil,,,USA,She/Her,,0-5 years,,"Loved it, Would recommend to others",Female,2020-03-15,Fandom,ambiguous
256,Fangoria,2024-05-12,Writer,Set visit,set visit,writing and reporting,,other,300,flat,300,"300 for 1,500 words",12,25,New Job - Still Waiting,Haven't been paid yet,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Verbal or ‘handshake’ agreement,"Set visit coverage. Visit was on-site, writing was done from home.","No, but the job wasn't killed",,"Didn't require overtime, but I did work longer hours than normal. This was not the publication's fault.",Job did not expand,Did not require expenses,,"Was hazardous &amp; protective measures were taken, Set was hazardous but protected, hazardous working conditions not the assigning publication's responsibility",Publicly Available,Unsure,No,,Entertainment,United States,Yes,Missouri,United States,She/Her,White,10-15 years,35,"Loved it, Would recommend to others",Female,2024-05-12,Fangoria,news
